IDFunction,Pattern,Condition
49,##XT*,
49,##Y*,
49,OSC*,
49,XTAL*,
52,54*,
53,LM*,
3,##DIN*,
3,##J*,
3,##SC*,
3,##SP*,
3,CONN*,
4,##I*,
4,##JP*,
4,##W*,
4,JUMP*,
4,JUMPER*,
5,##F*,
5,##SW*,
5,FUSE*,
6,##R*,
6,##TRIM*,
6,RES*,
6,RESIST*,
6,TRIM*,
7,##C*,
7,CAP*,
7,CAPAC*,
7,ELCAP*,
8,##CR*,
8,##D*,
8,##GR*,
8,##LD*,
8,##LED*,
8,DIODE*,
9,##Q*,
9,##T*,
9,TRANSIST*,
9,TRP*,
11,##L*,
11,IND*,
12,##IC*,
12,##U*,
12,52*,
12,74*,
12,BC*,
12,BF*,
12,DIGITAL*,
12,MC*,
12,OQ*,
12,QFP*,
14,##JF*,
14,##M*,
14,##MF*,
14,##QF*,
14,FET*,
14,JFET*,
14,MOSFET*,
15,##TR*,
15,TRANSF*,
16,##K*,
16,##RL*,
16,K*,
17,##DZ*,
17,##Z*,
17,Z*,
18,CLOCK*,
21,P*,
21,TP*,
21,VIA*,
21,##P*,
21,##TP*,
21,##VIA*,
31,CLUSTER*,
41,CLUSTERDIA*,
43,OPT*,
44,SCR*,
45,TRC*,
46,VR*,
49,##QZ*,
